评论,评分,分词
说好的双整点买送东西都没送手机电池真的不耐用比我的旧手机都用电用得快充满电没怎么用就剩几十反应触感不好有时候点几下就没反应,1,说好 双 整点 买 送 东西 没 送 手机电池 真的 耐用 旧 手机 用电 快 充满 电 没 剩 几十 反应 触感 不好 有时候 点 几下 没 反应 
外形外观还行屏幕挖孔有阴影屏幕音效一般有些时候屏幕点了几次才有反应运行速度还可以,1,外形 外观 行 屏幕 挖孔 阴影 屏幕 音效 屏幕 点 几次 反应 运行 速度 
拍照效果拍照效果和十年前的像素差不多给一个周时间工程师改进如果无法改进则退货,1,拍照 效果 拍照 效果 十年 前 像素 差不多 一个 周 时间 工程师 改进 无法 改进 退货 
体验感不好号刚刚买元号就降价到价保元就差几天相元,1,体验 感 不好 号 刚刚 买元 号 降价 价保元 差 几天 相元 
用了快半个月偶尔会出现死屏现象虽然一下就好了但感觉体验不是很好,1,快 半个 月 偶尔 会 出现 死屏 现象 一下 感觉 体验 
手机性能方面没得说充电也很快但是我只能给一星因为触控有问题有点飘打字经常漏打或者打错本来申请了换货但是没有备用机,1,手机 性能 方面 没得说 充电 很快 只能 一星 触控 问题 有点 飘 打字 经常 漏 错 本来 申请 换货 没有 备用机 
差差差差差评说了送耳机也不送啥都没有就裸机用起来感觉卡卡的像是翻新机不值这个钱建议慎入,1,差差 差差 差 评说 送 耳机 送 没有 裸机 起来 感觉 卡卡 像是 翻新 机 不值 钱 建议 慎入 
数据上网经常断网必须重启后才能正常使用更换新机后还是如此但我的手机卡在华为手机已经用了年多的上使用从来没出现过这种问题,1,数据 上网 经常 断网 必须 重启 正常 使用 更换 新机 手机卡 华为 手机 已经 年 使用 从来 没 出现 这种 问题 
拍照效果一点也不清晰不满意外形外观外观以为有点带蓝色差不多全是黑色其他特色前置摄像头黑边太深了还有没有耳机,1,拍照 效果 一点 清晰 满意 外形 外观 外观 有点 带 蓝色 差不多 全是 黑色 特色 前置 摄像头 黑边 太深 没有 耳机 
手机不错比网上传的好用发热拖影都不存在一切满意就是对待买首发的顾客太不友好了我买首发一个月降又买首发点分付款抢不到充电套装一个星期后又送的蓝牙耳机以后也许还会支持但是不会再买首发了,1,手机 不错 网上 传 发热 拖影 存在 满意 买 首发 顾客 太 友好 买 首发 一个月 降 买 首发 点分 付款 抢 不到 充电 套装 一个 星期 送 蓝牙 耳机 以后 也许 还会 支持 不会 买 首发 
拍照效果拍照差来的时候包装都是坏了的第一天没反应和客服说了就在那扯我是号到的号上王者直接黑屏后台只有一个王者不建议买血亏,1,拍照 效果 拍照 差来 包装 坏 第一天 没 反应 客服 说 扯 号 号 王者 直接 黑屏 后台 一个 王者 建议 买 血亏 
说是快充一直充没玩充电用了一个小时充电头是的线的网上说的才是原装用的充多了对手机不好,1,说 快充 一直 充没玩 充电 一个 小时 充电 头 线 网上 说 原装 充多 手机 不好 
电池不行说实话感觉电池不行不怎么玩我新手机已经省电模式了充电快耗电快,1,电池 不行 说实话 感觉 电池 不行 不怎么 玩 新手机 已经 省 电 模式 充电 快 耗电 快 
为啥我打游戏信号有的时候会断呢别说信号不好用的市区不可能信号不好,1,为啥 打游戏 信号 会断 信号 不好 市区 可能 信号 不好 
老板对商品描述大好实际使用指偶尔打游戏体验大差网速没问题时常掉网卡顿,1,老板 商品 描述 大好 实际 使用 指 偶尔 打游戏 体验 差 网速 没 问题 时常 掉 网卡 顿 
手机感觉一般般可能是用惯了用起来感觉不咋的还有赠品都没见到,1,手机 感觉 一般般 可能 用惯 起来 感觉 赠品 没 见到 
收到手机用了几天感觉手机信号是真的差信号不好还有有时候手机反应速度太慢了总体感觉很一般而且手机耗电挺快的运行速度一般待机时间一般,1,收到 手机 几天 感觉 手机信号 真的 差 信号 不好 有时候 手机 反应速度 太慢 总体 感觉 手机 耗电 挺快 运行 速度 待机时间 
破手机送过来没有耳机也就算了连个小别针都没有我她妈还怎么把卡插到手机里,1,破 手机 送过来 没有 耳机 连个 别针 没有 妈 卡 插 手机 里 
外形外观外观好看后壳塑料屏幕音效屏幕玩游戏有延迟有时按不起拍照效果建议女生别买运行速度一般反应不灵敏待机时间一般其他特色后悔,1,外形 外观 外观 好看 后壳 塑料 屏幕 音效 屏幕 玩游戏 延迟 按不起 拍照 效果 建议 女生 别买 运行 速度 反应 不灵敏 待机时间 特色 后悔 
不行别买了各位没有性能确有的毛病竟然没有耳机耳机还需要单买,1,不行 别买 没有 性能 确有 毛病 竟然 没有 耳机 耳机 需要 单买 
商品不太行打王者有闪屏幕的次数蛮多就是换货打王者也有就是少了具体原因不知道将就,1,商品 太行 王者 闪 屏幕 次数 蛮多 换货 王者 少 具体 原因 知道 
耗电太快了用一会就发烫就刷了一阵屏幕手指就感觉有些麻就是拍照效果好点这种手机就适合老人用,1,耗电 太快 一会 发烫 刷 一阵 屏幕 手指 感觉 麻 拍照 效果 好点 这种 手机 适合 老人 
屏幕音效不瞎眼音效比红米千元机还差拍照效果千元机水平运行速度快待机时间一天不玩游戏一小时个电其他特色买的抢不到买完发现拼汐汐卖了好多个这个价格不推荐以下可以外形外观塑料机身质感全无廉价感强,1,屏幕 音效 瞎眼 音效 比红米 千元 机 差 拍照 效果 千元 机 水平 运行 速度 快 待机时间 一天 玩游戏 小时 电 特色 买 抢 不到 买 完 发现 拼汐汐 卖 好多个 价格 推荐 以下 外形 外观 塑料 机身 质感 全无 廉价 感强 
手机不错就是感觉这预约的竟然没直接买优惠简直无法理解那为什么要这种模式免费开卡竟然只有两三种是免费的其他都是收费的,1,手机 不错 感觉 预约 竟然 没 直接 买 优惠 简直 无法 理解 这种 模式 免费 开卡 竟然 两三种 免费 收费 
不怎么样产品跟介绍的不一样玩游戏挺卡的跟朋友一起打游戏连的是同样的无线网他已经去了我这里还没有进去主要是他的手机还是用过一年多了同样的两千多块钱,1,不怎么样 产品 介绍 玩游戏 挺卡 朋友 一起 打游戏 同样 无线网 已经 没有 进去 主要 手机 用过 一年 同样 两千多块 钱 
屏幕音效不行有时候失灵拍照效果还不如我以前的外形外观塑料外壳不看中运行速度还行待机时间还行其他特色网络不稳定卡的我想哭一会有五一会又没了误触也多,1,屏幕 音效 不行 有时候 失灵 拍照 效果 以前 外形 外观 塑料 外壳 看中 运行 速度 行 待机时间 行 特色 网络 稳定 卡 想 哭 一会 五一 会 没 误触 
刚买了就降价了虽然只有元但是也不太舒服想起来是不太好外包装居然盒子都破了,1,刚买 降价 元 太 舒服 想 起来 不太好 外包装 居然 盒子 破 
手机不好用反应慢耗电也挺快用了几天就卡了有的软件刚进入就散退出来了,1,手机 不好 反应 慢 耗电 挺快 几天 卡 软件 刚 进入 散 退出 
其他两款天机抢不到着急用趁活动买来试试手机略厚观感不错给老人买的挖孔加下巴可以接受交互还行体验一段时间再评差评给机器话应付的客服无法解决实际问题一套话术来回用多亏快递小哥才能赶在我走之前给老人配置好用上这么多年就给客服差评一次,1,两款 天机 抢 不到 着急 活动 买来 试试 手机 略厚 观感 不错 老人 买 挖 孔加 下巴 接受 交互 行 体验 一段时间 再评 差评 机器 话 应付 客服 无法 解决 实际 问题 一套 话术 来回 多亏 快递 小哥 赶在 走 之前 老人 配置 好用 多年 客服 差评 一次 
运行速度流畅快速待机时间大约天左右其他特色今天有赠品明天没有价格像猴一样,1,运行 速度 流畅 快速 待机时间 大约 天 左右 特色 今天 赠品 明天 没有 价格 猴 
不好给老人买的没用几天就坏了声音时有时无是自营产品但是是店铺售后京东服务没的说店铺检测说是没问题摄像头说有划痕不能更换了又给送回来了,1,不好 老人 买 没用 几天 坏 声音 时有时无 自营 产品 店铺 售后 京东 服务 没 说 店铺 检测 说 没 问题 摄像头 说 划痕 不能 更换 送 回来 
给的赠品自动取消而且这个手机为什么系统自己占接近的运行内存从拿到手运行内存就没高过而且系统占接近的储存空间我买的是的,1,赠品 自动 取消 手机 系统 占 接近 运行 内存 拿到 手 运行 内存 没高过 系统 占 接近 储存 空间 买 
手机质量不行我跟客服反应了然后说换新我同意了毕竟不可能合格也许我就是倒霉了但是换新发过来的机子跟我之前买的那台编号什么都一样明显是同一台而且问题根本没有解决不说还出现了其他的问题上次我用指纹可以解锁这次指纹用着没反应我真的很失望以前一直用的华为手机这次换了想尝试一下不过看来比不过华为是有原因的我还是用华为吧就这退了,1,手机 质量 不行 客服 反应 说换 新 同意 毕竟 可能 合格 也许 倒霉 换 新 发过来 机子 之前 买 那台 编号 明显 同一 台 问题 根本 没有 解决 说 出现 问题 上次 我用 指纹 解锁 指纹 没 反应 真的 失望 以前 一直 华为 手机 换 想 尝试 一下 看来 华为 原因 华为 退 
说好的充电快呢两分钟能充一度电吗五网速还没四的快还闪退,1,说好 充电 快 两分钟 能充 一度 电 五 网速 没 四 快 闪退 
购机经历简直是罄竹难书京东物流闹心手机还要不要来个自动关机简直了,1,购机 经历 简直 罄竹难书 京东 物流 闹心 手机 不要 来个 自动关机 简直 
说好的送耳机什么都没有,1,说好 送 耳机 没有 
说的送蓝牙耳机最后说要会员才送一开始问怎么不说清楚呢,1,说 送 蓝牙 耳机 最后 说 会员 送 问 不说 清楚 
有些无语本来是物流整整耽误了一天硬是在京东营业部呆了一天没发出来没办法自己要出差多方打听得到确切地址和电话上门自提这里是一个结第二个刚激活的手机居然出现死机卡顿是我手有毛病还是我运气不佳刚好碰到这万分之一的手机一个亿的奔腾我对客服没意见虽然中间聊天我语气有些急躁但我一再表示不关他的事对方服务态度没话说尽管没有解决我的问题我也不想为难客服有些问题应该是电脑回复的对我也没有帮助总之我第一次写这么多字的评论也是第一次差评希望以后不会再有这样的经历官方我一直是手机的用户对手机有很大的好感操作方便这么多年习惯了用它但这次真是让我跌破了眼镜有些小失望但我还是相信的质量也许是我运气不好我也不加以太多的评论,1,语 本来 物流 整整 耽误 一天 硬是 京东 营业部 呆 一天 没 发出 没 办法 出差 多方 打听 得到 确切 地址 电话 上门 自提 一个 结 第二个 刚 激活 手机 居然 出现 死机 卡顿 手 毛病 运气 不佳 刚好 碰到 万分之一 手机 一个亿 奔腾 客服 没 意见 中间 聊天 语气 急躁 一再表示 不关 事 服务态度 没话说 没有 解决 问题 不想 为难 客服 问题 应该 电脑 回复 没有 帮助 第一次 写 多字 评论 第一次 差评 希望 以后 不会 经历 官方 一直 手机 用户 手机 很大 好感 操作 方便 多年 习惯 真是 跌破 眼镜 失望 相信 质量 也许 运气 不好 太多 评论 
买手机一个月多几天手机出现充电不稳这是一次非常非常差的购机体验百分之的好评而我成为百分之五的差评很失望对手机很失望频繁到一个视频多次断电又充而且时不时只普通充电,1,买手机 一个月 几天 手机 出现 充电 不稳 一次 非常 非常 差 购机 体验 百分之 好评 成为 百分之五 差评 失望 手机 失望 频繁 一个 视频 多次 断电 充 时不时 普通 充电 
把手机设置好准备玩玩游戏一下子失望了刚买回来竟然闪屏充电还不是闪充我想我是不是买了个假手机唉～好失望哦运行速度也不是多块跟我以前用的手机没啥变化,1,手机 设置 准备 玩玩 游戏 一下子 失望 刚 买回来 竟然 闪屏 充电 闪充 想 是不是 买 假 手机 ～ 失望 运行 速度 多块 以前 手机 没 变化 
什么鬼连个王者荣耀都带不动卡得剩下半条命不知道这手机凭什么有脸在京东上销售的我一天追评一次,1,鬼连个 王者 荣耀 带 不动 卡得 剩下 半条命 知道 手机 脸 京东 销售 一天 追评 一次 
不知道用什么词形容新手机反应太慢了掉电比我用了一年多的旧手机还掉得快充电也太慢了而且刚拆封充电器就一个大指纹黑印我想说这么大个公司没有品控部门吗反正就特别不满意也没想过要退换货将就着用用以后绝对不会考虑这个品牌一颗星是给物流的,1,知道 词 形容 新手机 反应 太慢 掉电 一年 旧 手机 掉 快 充电 太慢 刚 拆封 充电器 一个 指纹 黑印 想 说 公司 没有 品控 部门 反正 特别 满意 没想 退换货 以后 绝对 不会 考虑 品牌 一颗 星是 物流 
客服处理事情真的是太敷衍了一问三不知物流明明是隔天到到第三天也是一点消息都没有问客服客服也不知道说联系配送站点却怎么也拿不出什么说法来联系京东平台这边也是一样自己去联系了平台物流一个说配送的师傅出车祸配送老板却说东西忘记送都这样那你们一起来踢皮球吧付完款第二天就马上降价这个购物体验真的很糟心,1,客服 处理 事情 真的 太 敷衍 一问三不知 物流 明明 隔天 第三天 一点 消息 没有 问 客服 客服 知道 说 联系 配送 站点 拿不出 说法 联系 京东 平台 联系 平台 物流 一个 说 配送 师傅 出车祸 配送 老板 却说 东西 忘记 送 起来 踢皮球 付 完款 第二天 马上 降价 购物 体验 真的 糟心 
垃圾手机拿到手我没仔细看用了几天感觉非常差屏幕失灵比较多新手机偶尔卡顿电池耗电不是一般的快感觉不太好想退货才发现左上角居然有瑕疵我也是服了最近京东买手机体验都不怎么样啊,1,垃圾 手机 拿到 手 没 仔细 看用 几天 感觉 非常 差 屏幕 失灵 比较 新手机 偶尔 卡顿 电池 耗电 快 感觉 不太好 想 退货 发现 左上角 居然 瑕疵 服 最近 京东 买手机 体验 不怎么样 
今天下午收到双肩背包了但是评论没有办法删除了,1,今天下午 收到 双肩 背包 评论 没有 办法 删除 
当时买的时候说天内送双肩包现在都过了一个月了催了好几次都没有发货一直说马上发马上发一直没发简直欺骗消费者垃圾,1,当时 买 说 天内 送 双肩包 现在 一个月 催 几次 没有 发货 一直 说 马上发 马上发 一直 没发 简直 欺骗 消费者 垃圾 
电池不耐用超级发烫买回来我刚用五分钟不到手机就发烫得不行其他还没试不知道用后再来追评整体不满意感觉越做越不行一直用的的这次的体验感很失望,1,电池 耐用 超级 发烫 买回来 刚用 五分钟 不到 手机 发 烫得 不行 没试 知道 用后 追评 整体 满意 感觉 越做越 不行 一直 体验 感 失望 
我一直用手机以前都挺好的这次买的是最烂的一次购机体验手机电池差耗电飞快新手机一天正常用要充次电垃圾和用了两三年的手机一样播放媒体声音忽大忽小什么鬼来的号称万像素拍照出来的效果还没有像素的原手机清楚倍放大模糊的不能在模糊了根本就是骗人的网和网上着速度没什么区别手机又厚又重长的好丑浪费我的几千块钱,1,一直 手机 以前 挺 买 最烂 一次 购机 体验 手机电池 差 耗电 飞快 新手机 一天 正常 用要 充次 电 垃圾 两三年 手机 播放 媒体 声音 忽大忽小 鬼来 号称 万 像素 拍照 效果 没有 像素 原 手机 清楚 倍 放大 模糊 不能 模糊 根本就是 骗人 网 网上 速度 没什么 区别 手机 厚 重长 好丑 浪费 几千块 钱 
垃圾手机新手机玩儿游戏看电影耗电太快了主要是充电速度更垃圾分钟冲用一天我就后悔了超级垃圾,1,垃圾 手机 新手机 玩儿 游戏 电影 耗电 太快 主要 充电 速度 更 垃圾 分钟 冲用 一天 后悔 超级 垃圾 
新机使用几天电池不行耗电特别块拿去检测电池有问题实在太了,1,新机 使用 几天 电池 不行 耗电 特别 块 检测 电池 问题 实在 太 
伤心越来越多灰了什么破手机,1,伤心 越来越 多灰 破 手机 
买了没有多久摄像头后面就进灰了现在灰还很多刚刚发现的时候联系客服客服没理睬自己想想就一点不影响就没有留意现在越来越多肉眼都能看见特别后悔了好不容易买个新手机还是按揭的没有用多久就出现问题太令人失望了现在换新机也不给换真心伤心特伤心希望有关部门能看到希望选择买这款手机的友慎重考虑伤心,1,买 没有 多久 摄像头 后面 进灰 现在 灰 很多 刚刚 发现 联系 客服 客服 没 理睬 想想 一点 影响 没有 留意 现在 越来越 肉眼 看见 特别 后悔 好不容易 买个 新手机 按揭 没有 多久 出现 问题 太 令人 失望 现在 换 新机 换 真心 伤心 特 伤心 希望 部门 看到 希望 选择 买 这款 手机 友 慎重考虑 伤心 
这是在京东最差的一次购物快递等了几天还手机出现花屏不说换货等了两天不来退货又是等几天本来开开心心的买个手机还给搞得无语的要死,1,京东 最差 一次 购物 快递 几天 手机 出现 花屏 说 换货 两天 退货 几天 本来 开开心心 买个 手机 还给 搞 无语 要死 
电池不耐用去超市买东西还有的电量都没玩逛一边超市出来买单就没电了没带现金出门买单的时候手机没电要多尴尬就有多尴尬差评,1,电池 耐用 超市 买 东西 电量 没 玩 逛 一边 超市 买单 没电 没带 现金 出门 买单 手机 没电要 尴尬 尴尬 差评 
什么鬼东西手机进入低电量模式卡的一批进入软件马上切出来也直接卡懵逼辣鸡手机,1,鬼 东西 手机 进入 低电量 模式 卡 一批 进入 软件 马上 切出来 直接 卡懵逼辣 鸡 手机 
今天刚到本来挺开心的然后主推的是摄像但是只要波动的稍微有点大就模糊防抖动做的一点也不好还有声音一开免提就有杂音还特多还有用推荐的歌软件延迟特大特明显试了好几款都是这个样还特意在旗舰店买的失望透了,1,今天 刚到 本来 挺 开心 主推 摄像 波动 稍微 有点 模糊 防抖动 做 一点 不好 声音 一开 免提 杂音 特多 推荐 歌 软件 延迟 特大 特 明显 试 几款 样 特意 旗舰店 买 失望 透 
号称跑分才万都不如高筒鞋拍照也没什么特别的就是太大电脑打着费劲用着还发热采购需慎重客服套路多,1,号称 跑 分才 万 高筒 鞋 拍照 没什么 特别 太 电脑 打着 费劲 发热 采购 需 慎重 客服 套路 
真的差劲刚买来就经常死机黑屏这才用了一个多月就死机五六次了还不如我之前买的真的是越做越差,1,真的 差劲 刚 买来 经常 死机 黑屏 这才 一个多月 死机 五六次 之前 买 真的 越做越 差 
手机赠品一起寄回去了也显示收货了到你们哪边就说我没退回赠品扣我赠品的钱一天两天就算了能理解慢现在已经一个星期了还是收货不退款,1,手机 赠品 一起 寄 回去 显示 收货 说 没 退回 赠品 扣 赠品 钱 一天两天 理解 慢 现在 已经 一个 星期 收货 退款 
手机不好用才买的新机就是有问题的受疫情影响没有退到货知只能维修手机看视频突然卡住打字就键盘突然收回这应该是我最后一次买手机壳了电池又不耐用非常不好的体验,1,手机 不好 买 新机 问题 受 疫情 影响 没有 退 到货 知 只能 维修 手机 视频 突然 卡住 打字 键盘 突然 收回 应该 最后 一次 买手机 壳 电池 耐用 非常 不好 体验 
手机给我妈买的她之前就用的想把旧手机里的东西备份过来可是不会弄去线下专卖店线下说不是他们店里买的不帮忙要收钱线上客服给了售后点都在另外的区县整个成都市就只有那几个区有售后点这么大的品牌售后点这么少而去线上线下互不认一生黑这是我这辈子买你们最后的一个手机想买的最好先查查身边有没有售后点不然出了问题让你去另外一个城市修,1,手机 妈 买 之前 想 旧 手机 里 东西 备份 过来 不会 弄 线下 专卖店 线下 说 店里 买 帮忙 收钱 线上 客服 售后 点 区县 整个 成都市 几个 区有 售后 点 品牌 售后 点 少 线 上线 互不 认 一生 黑 这辈子 买 最后 一个 手机 想 买 最好 先 查查 身边 有没有 售后 点 出 问题 一个 城市 修 
待机时间差差差屏幕音效差拍照效果很运行速度差外形外观很美观其他特色网络短网看三思而行,1,待机时间 差差 差 屏幕 音效 差 拍照 效果 运行 速度 差 外形 外观 美观 特色 网络 短网 三思而行 
想买的朋友想清楚再买跟实物相差太多了又厚又小跟砖块一样拿起来没有手感还不如普拉斯外观漂亮有手感说是的屏幕感觉和点几的屏幕一样买后悔了浪费劳资四千块大洋,1,想 买 朋友 想 清楚 买 实物 相差太多 厚 砖块 起来 没有 手感 普拉斯 外观 漂亮 手感 说 屏幕 感觉 点 屏幕 买 后悔 浪费 劳资 四千块 大洋 
日购买返倍结果就返倍咨询客服就说是下单时间既然说的是购买为什么付款时间不能算呢做不到少玩文字游戏续航差,1,日 购买 返倍 返倍 咨询 客服 说 下单 时间 说 购买 付款 时间 不能 算 做 不到 少玩 文字游戏 续航 差 
这些五星好评估计都是京豆买来的购买需谨慎各种坑,1,五星 好评 估计 京豆 买来 购买 需谨慎 坑 
信号非常差两个手机放一起一个信号全满是信号这是大厂的产品,1,信号 非常 差 两个 手机 放 一起 一个 信号 全满 信号 这是 大厂 产品 
垃圾手机玩个游戏卡的要死还是新手机真打个游戏差点没被我砸烂问了客服就告诉我恢复出厂设置什么垃圾手机,1,垃圾 手机 玩个 游戏卡 要死 新手机 真 打个 游戏 差点 没 砸烂 问 客服 告诉 恢复 出厂 设置 垃圾 手机 
体验非常之差还不如我的是真的不建议入手这款,1,体验 非常 之差 真的 建议 入手 款 
手机用了三天正打电话突然就自动关机自动开机后我的卡就一直无服务卡放别的手机就能用我要退货客服还说让我自己付邮费超级不建议大家买这个手机不稳定,1,手机 三天 正 打电话 突然 自动关机 自动开机 卡 一直 服务卡 放 手机 退货 客服 说 付 邮费 超级 建议 买 手机 稳定 
不谈论手机售后服务差到极点说预约送口红第一次找客京东界面是看不到的昨天收到货今天找客服客服说前才送很好笑预售第一天晚上就预约了超过了说法都在客服差,1,谈论 手机 售后服务 差 到极点 说 预约 送 口红 第一次 找客 京东 界面 看不到 昨天 收到 货 今天 找 客服 客服 说 前 送 好笑 预售 第一天 晚上 预约 超过 说法 客服 差 
等了很六七天才发货拿到手机包装盒子很大手机没做好防保用着手机每天无缘无故关机电池掉得很快不怎么用一天都要充两次电从没退货习惯的我选择换货售后申请后快递员迟迟不来取件害我在家等了整整两天还是我主动打电话亲自给快递员送过去等来的结果是售后检测没问题的话会把问题手机给我返回买手机没优惠没礼品干嘛还在京东上买绝对差评以后不会再来了上一次当就够了,1,六七天 发货 拿到 手机 包装盒 子 很大 手机 没 做好 防保 手机 每天 无缘无故 关机 电池 掉 很快 不怎么 一天 充 两次 电 从没 退货 习惯 选择 换货 售后 申请 快递 员 迟迟 不来 取件 害 在家 整整 两天 主动 打电话 亲自 快递 员送 过去 售后 检测 没 问题 会 问题 手机 返回 买手机 没 优惠 没 礼品 干嘛 京东 买 绝对 差评 以后 不会 再来 一次 够 
在你家店铺购买了一台手机半个月就出现问题自动关机后开不了机申请换货换了半个月刚收到一打开都是指纹之前问过客户会不会寄回二手机还说保证不会的会寄一台全新的没想到打开后都是别人留下的手指纹这种店铺还靠谱吗就是这样欺骗消费者吗而且现在发现第一台也不是新机来的刚拿到直接就可以用的现在申请退货还要一个星期来处理见意都不要上当受骗我已经是一个受害者,1,你家 店铺 购买 一台 手机 半个 月 出现 问题 自动关机 后开 不了 机 申请 换货 换 半个 月 刚 收到 打开 指纹 之前 问过 客户 会 不会 寄回 二 手机 说 保证 不会 会 寄 一台 全新 没想到 打开 留下 手指 纹 这种 店铺 谱 欺骗 消费者 现在 发现 第一台 新机 刚 拿到 直接 现在 申请 退货 一个 星期 处理 见意 不要 上当受骗 已经 一个 受害者 
我是买的用了几天我发现手机发热严重放在哪里不动光充电手机就严重发热电池不耐用劝朋友要买还是慎重这个手机真不行,1,买 几天 发现 手机 发热 严重 放在 不动光 充电 手机 严重 发热 电池 耐用 劝 朋友 买 慎重 手机 真 不行 
垃圾当初没注意没有骁龙好现在小米就搭载骁龙才块你个块的搭载还没有骁龙好的手机我还不如去买小米骁龙配置同样的价钱比你高两代就喜欢坑人坑国人坑外国友人,1,垃圾 当初 没 注意 没有 骁龙 现在 小米 搭载 骁龙 块 块 搭载 没有 骁龙 手机 买 小米 骁龙 配置 同样 价钱 高 两代 喜欢 坑人 坑 国人 坑 外国 友人 
垃圾这是我第一次买也是最后一次买新买不到一个月的手机我还没装其他软件基本系统自带的就开始卡顿了客服给我说什么软件安装过多垃圾没有定期清理逗我呢我这是的配置不是的配置要是半年一年发生这情况还可以理解这个还不到一个月没装其他软件打开个微信看消息就卡更关键的还是个二手(因为这是我给长辈买的拆开的时候我没在长辈旁边长辈不太会看手机)现在这个情况我才发现我是年月下旬买的而手机在年月份已经被开机过了手机文件内有记录真几把坑店铺我要投诉手机也真垃圾近块钱的中高配置的手机还没有我上次买的块钱小米屏下指纹版好走一波我不匿名显的我在黑一样我就实名评论和举报,1,垃圾 第一次 买 最后 一次 买 新 买不到 一个月 手机 没装 其他软件 基本 系统 自带 卡顿 客服 说 软件 安装 过多 垃圾 没有 定期 清理 逗我 配置 配置 半年 一年 发生 情况 理解 不到 一个月 没装 其他软件 打开 微信 消息 卡 更 关键 二手 ( 长辈 买 拆开 没 长辈 旁边 长辈 不太会 手机 ) 现在 情况 发现 年 月 下旬 买 手机 年 月份 已经 开机 手机 文件 内有 记录 真 几把 坑 店铺 我要 投诉 手机 真 垃圾 近 块钱 中 高 配置 手机 没有 上次 买 块钱 小米 屏下 指纹 版好 走 一波 匿名 显 黑 实名 评论 举报 
急用手机本来就是看中物流才下单的结果第三天才到而且还是同城发货绝了买之前说第二天就能到买之后问到底能不能到又变成不太清楚能不能到了这前后还有两幅面孔呢家银们不急用的还是选择旗舰店比较靠谱,1,急用 手机 本来 看中 物流 下单 第三天 城 发货 绝 买 之前 说 第二天 买 之后 问 到底 不能 变成 不太 清楚 不能 两幅 面孔 家 银们 急用 选择 旗舰店 比较 谱 
外形外观一般后盖与中框间隙太大屏幕音效一般拍照效果勉强可以接受运行速度一般待机时间功耗太高电池太不耐用作为新机黑品待机一晚上掉电以上轻度使用一天充两次电严重影响体验,1,外形 外观 后盖 中框 间隙 太 大屏幕 音效 拍照 效果 勉强 接受 运行 速度 待机时间 功耗 太高 电池 太 耐用 新机 黑品 待机 晚上 掉电 轻度 使用 一天 充 两次 电 严重 影响 体验 
手机样式啥的挺好看的看见能分期就下单了看直播下单主播说的送红酒送体检券说好的收到货再联系客服说直播间下单的他们都能查到能看见收到货了我联系客服他们就不承认了说下单了就要联系我认为这是欺骗顾客春节期间每天都在走亲戚错过了退货时间想着一点赠品也无所谓了就算了但是这手机我越用越后悔买返回键那一排必须上划操作不是像之前的手机直接点击的不好操作上了手机壳就更别提了手机壳的边挡住屏幕划都不好划退出程序要搞好多次不上手机壳手机特别滑放枕头被子上放腿上自己就滑走了特别容易就摔了玩儿了几次退都退不出随便怎么划都不行返回大退都没反应爱奇艺都闪退了几次关键新手机还出现卡机情况这么贵的价格这个品质这是无语了纠结了某为之后选择这个这是后悔莫及建议大家别买这款手机真的差劲唯一看上的就是像素好别的,1,手机 样式 挺 好看 看见 分期 下单 直播 下单 主播 说 送 红酒 送 体检 券 说好 收到 货再 联系 客服 说 直播间 下单 能查 看见 收到 货 联系 客服 承认 说 下单 联系 认为 这是 欺骗 顾客 春节 期间 每天 走亲戚 错过 退货 时间 想着 一点 赠品 无所谓 手机 越用 越 后悔 买 返回 键 一排 必须 划 操作 之前 手机 直接 点击 不好 操作 手机 壳 更 别提 手机 壳 挡住 屏幕 划 不好 划 退出 程序 搞好 多次 不上 手机 壳 手机 特别 滑放 枕头 被子 上放腿 滑走 特别 容易 摔 玩儿 几次 退 退 不出 随便 划 不行 返回 大退 没 反应 爱奇艺 闪退 几次 关键 新手机 出现 卡机 情况 贵 价格 品质 这是 无语 纠结 某为 之后 选择 这是 后悔莫及 建议 别买 这款 手机 真的 差劲 唯一 看上 像素 
很差拿到之后本来很开心要安装电话卡的时候居然卡托弹不出来你作为手机最基本的接打电话的功能都做不到给人的感觉一下子跌落谷底退货时间还要那么长耽误我买新手机的时间客服只会说些搪塞的话没有实质性的作用真的非常失望,1,很差 拿到 之后 本来 开心 安装 电话卡 居然 卡托 弹 手机 基本 接 打电话 功能 做 不到 感觉 一下子 跌落 谷底 退货 时间 长 耽误 买 新手机 时间 客服 只会 说些 搪塞 没有 实质性 作用 真的 非常 失望 
再说一下曲面屏不好的地方地铁上看视频屏幕上边缘反光严重影响观看效果请看图,1,一下 曲面 屏 不好 地方 地铁 视频 屏幕 边缘 反光 严重 影响 观看 效果 请 看图 
很差非常差相当的差差的不像话,1,很差 非常 差 相当 差差 不像话 
这是我在京东购买的最差劲的一个手机也是最差劲的一次服务三千多的手机卡的像手机已经换了一个机器了第一部到手天就发现卡顿换机半个月第二部发过来直接测试就发现严重卡顿京东回访我把问题说了要求退货他们不可以这让我们对京东很失望早知道第一部发现问题就应该退货,1,京东 购买 差劲 一个 手机 差劲 一次 服务 三千多 手机卡 手机 已经 换 一个 机器 第一部 到手 天 发现 卡顿 换机 半个 月 第二部 发过来 直接 测试 发现 严重 卡顿 京东 回访 问题 说 要求 退货 京东 失望 早 知道 第一部 发现 问题 应该 退货 
